Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GA¥Úµ„—π¡¶≤‚ ‘,9253,0,1300,4025.8201664325084,394,39485,0.0,143.10630367680875,0.0,1300,1600,3100,7700,12000,19000,22000,25000,30000,39000,39000
,Aggregated,9253,0,1300,4025.8201664325084,394,39485,0.0,143.10630367680875,0.0,1300,1600,3100,7700,12000,19000,22000,25000,30000,39000,39000
