Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,AB单用户上传多文件,79,79,350,482.9620253164557,326,1764,45.0,7.159343160599972,7.159343160599972,350,380,390,410,1200,1300,1400,1800,1800,1800,1800
,Aggregated,79,79,350,482.9620253164557,326,1764,45.0,7.159343160599972,7.159343160599972,350,380,390,410,1200,1300,1400,1800,1800,1800,1800
