Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,查看列目录下的文件或文件夹,4,4,660,664.5,654,675,45.0,0.8466073845598301,0.8466073845598301,660,660,680,680,680,680,680,680,680,680,680
,Aggregated,4,4,660,664.5,654,675,45.0,0.8466073845598301,0.8466073845598301,660,660,680,680,680,680,680,680,680,680,680
