Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,重命名文件或文件夹,5,0,630,638.2,613,660,191.6,1.0645477289416299,0.0,630,650,650,660,660,660,660,660,660,660,660
,Aggregated,5,0,630,638.2,613,660,191.6,1.0645477289416299,0.0,630,650,650,660,660,660,660,660,660,660,660
