Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1654081271,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1654081272,2,,Aggregated,0.000000,0.000000,700,700,700,700,700,700,700,700,700,700,700,1,0,699,699.0,699,699,485.0
1654081273,3,,Aggregated,0.000000,0.000000,700,700,700,700,700,700,700,700,700,700,700,2,0,699,698.0,697,699,485.0
1654081274,4,,Aggregated,0.000000,0.000000,700,700,700,700,700,700,700,700,700,700,700,3,0,699,610.3333333333334,435,699,485.0
1654081275,5,,Aggregated,0.500000,0.000000,700,700,710,710,1700,1700,1700,1700,1700,1700,1700,7,0,700,733.8571428571429,435,1711,485.0
1654081276,6,,Aggregated,1.000000,0.000000,700,700,700,710,1700,1700,1700,1700,1700,1700,1700,9,0,700,696.3333333333334,435,1711,485.0
1654081277,7,,Aggregated,1.000000,0.000000,470,700,700,700,710,1700,1700,1700,1700,1700,1700,13,0,470,639.9230769230769,435,1711,485.0
1654081278,8,,Aggregated,1.400000,0.000000,450,690,700,700,710,1700,1700,1700,1700,1700,1700,19,0,450,590.9473684210526,435,1711,484.89473684210526
1654081279,9,,Aggregated,2.000000,0.000000,450,470,700,700,700,710,1700,1700,1700,1700,1700,24,0,440,570.9583333333334,435,1711,484.9166666666667
1654081280,10,,Aggregated,2.142857,0.000000,450,460,700,700,700,710,1700,1700,1700,1700,1700,30,0,440,554.7,435,1711,484.93333333333334
1654081281,11,,Aggregated,2.500000,0.000000,440,450,690,700,700,710,1700,1700,1700,1700,1700,37,0,440,540.0540540540541,432,1711,484.8918918918919
1654081282,12,,Aggregated,3.000000,0.000000,450,450,470,700,700,700,1700,1700,1700,1700,1700,46,0,440,527.4565217391304,432,1711,484.9130434782609
1654081283,13,,Aggregated,3.200000,0.000000,440,450,460,700,700,700,710,1700,1700,1700,1700,53,0,440,521.2452830188679,432,1711,484.8867924528302
1654081284,14,,Aggregated,3.900000,0.000000,440,450,450,690,700,700,710,1700,1700,1700,1700,62,0,440,514.2096774193549,432,1711,484.8709677419355
1654081285,15,,Aggregated,4.700000,0.000000,440,450,450,470,700,700,720,1700,1700,1700,1700,73,0,440,507.90410958904107,432,1711,484.86301369863014
1654081286,16,,Aggregated,5.300000,0.000000,440,450,450,460,700,700,730,1700,1700,1700,1700,82,0,440,504.4512195121951,432,1711,484.8048780487805
1654081287,17,,Aggregated,6.100000,0.000000,440,450,450,460,700,700,730,1700,1700,1700,1700,93,0,440,500.3440860215054,432,1711,484.78494623655916
1654081288,18,,Aggregated,6.800000,0.000000,450,450,450,460,700,700,720,730,1700,1700,1700,106,0,450,496.6509433962264,432,1711,484.79245283018867
